City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Garowe,SO,2023-01-13 03:54:17,8.4054,48.4845,66.15,75,64,11.12
68,Qaanaaq,GL,2023-01-13 03:54:17,77.484,-69.3632,-1.32,97,100,5.61
69,Sao Filipe,CV,2023-01-13 03:54:18,14.8961,-24.4956,71.91,68,3,12.97
70,Punta Arenas,CL,2023-01-13 03:49:49,-53.15,-70.9167,53.71,76,75,17.27
71,Samarai,PG,2023-01-13 03:54:19,-10.6167,150.6667,85.28,68,50,5.97
72,Pisco,PE,2023-01-13 03:54:19,-13.7,-76.2167,69.03,83,0,4.61
73,Lasa,IT,2023-01-13 03:53:08,46.6166,10.7002,29.03,74,97,2.37
74,Meulaboh,ID,2023-01-13 03:54:20,4.1363,96.1285,82.42,70,98,2.66
75,Bilyayivka,UA,2023-01-13 03:54:20,46.4832,30.2168,31.71,71,100,5.44
76,Butaritari,KI,2023-01-13 03:54:20,3.0707,172.7902,81.12,79,16,14.94
77,Carnarvon,AU,2023-01-13 03:54:21,-24.8667,113.6333,80.94,58,0,18.12
78,Victoria,HK,2023-01-13 03:53:06,22.2855,114.1577,75.33,93,76,1.99
79,Laguna,US,2023-01-13 03:54:22,38.421,-121.4238,59.31,73,100,4.61
80,Belmonte,BR,2023-01-13 03:54:22,-15.8631,-38.8828,76.01,85,10,5.44
81,Faanui,PF,2023-01-13 03:54:23,-16.4833,-151.75,82.44,73,99,22.93
82,Sovetskiy,RU,2023-01-13 03:54:24,61.3614,63.5842,9.21,94,100,7.38
83,Binzhou,CN,2023-01-13 03:54:25,37.3667,118.0167,44.62,77,100,9.53
84,Nemuro,JP,2023-01-13 03:54:25,43.3236,145.575,36.79,81,48,12.53
85,Dikson,RU,2023-01-13 03:54:26,73.5069,80.5464,-26.03,93,95,13.62
86,Tessalit,ML,2023-01-13 03:54:26,20.1986,1.0114,58.03,20,9,9.42
87,Morgantown,US,2023-01-13 03:50:40,39.6295,-79.9559,54.45,90,100,6.91
88,Bandarbeyla,SO,2023-01-13 03:54:27,9.4942,50.8122,76.17,68,99,19.13
89,Castro,BR,2023-01-13 03:54:28,-24.7911,-50.0119,64.36,93,100,2.46
90,Lorengau,PG,2023-01-13 03:54:28,-2.0226,147.2712,82.56,74,74,10.87
91,Batticaloa,LK,2023-01-13 03:54:29,7.7102,81.6924,76.78,68,70,7.4
92,Luganville,VU,2023-01-13 03:54:29,-15.5333,167.1667,81.93,80,79,4.63
93,Constitucion,CL,2023-01-13 03:54:30,-35.3333,-72.4167,56.95,75,5,9.73
94,Jalu,LY,2023-01-13 03:54:30,29.0331,21.5482,55.8,62,75,9.13
95,Geraldton,AU,2023-01-13 03:54:31,-28.7667,114.6,79.21,57,75,24.16
