City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mastic Beach,US,40.7668,-72.8521,53.78,94,100,12.66,overcast clouds
79,East London,ZA,-33.0153,27.9116,72.54,88,100,6.91,overcast clouds
80,Behat,IN,30.1667,77.6167,54.9,71,60,2.62,broken clouds
81,Isangel,VU,-19.55,169.2667,75.83,79,43,8.81,scattered clouds
82,Victoria,HK,22.2855,114.1577,75.25,90,10,1.01,clear sky
83,Vila Velha,BR,-20.3297,-40.2925,87.75,74,40,17.27,scattered clouds
84,Cidreira,BR,-30.1811,-50.2056,78.69,80,70,6.08,broken clouds
85,Mehamn,NO,71.0357,27.8492,35.55,75,20,17.27,few clouds
86,Nikolskoye,RU,59.7035,30.7861,35.49,98,100,11.18,snow
87,Cabo San Lucas,MX,22.8909,-109.9124,76.6,73,0,4.61,clear sky
88,Orcopampa,PE,-15.2661,-72.3417,61.68,16,57,8.79,broken clouds
89,Cehegin,ES,38.0924,-1.7985,52.25,44,33,5.23,scattered clouds
90,Dunedin,NZ,-45.8742,170.5036,55.8,80,79,1.01,broken clouds
91,Vaini,TO,-21.2,-175.2,77.16,100,75,1.14,broken clouds
92,Flinders,AU,-34.5833,150.8552,70.38,84,76,4.0,broken clouds
93,Salinas,US,36.6777,-121.6555,61.0,78,100,18.41,overcast clouds
94,Qui Nhon,VN,13.7667,109.2333,74.23,93,25,3.33,scattered clouds
95,Ararat,AM,39.8317,44.7049,26.94,57,100,0.43,overcast clouds
96,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.25,99,100,1.72,overcast clouds
97,Concarneau,FR,47.875,-3.9225,52.09,86,100,9.93,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,65.71,71,3,5.73,clear sky
99,Estelle,US,29.8458,-90.1067,51.01,63,75,12.66,broken clouds
100,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,18.41,light intensity shower rain
101,Kapaa,US,22.0752,-159.319,66.18,88,0,6.91,clear sky
102,Goundam,ML,16.4145,-3.6708,83.21,7,77,10.27,broken clouds
103,Cherskiy,RU,68.75,161.3,-32.17,99,100,4.54,overcast clouds
104,New Norfolk,AU,-42.7826,147.0587,65.7,65,22,2.46,few clouds
105,Gornopravdinsk,RU,60.05,69.9,11.35,94,100,9.53,overcast clouds
106,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,89,100,14.54,overcast clouds
107,Guerrero Negro,MX,27.9769,-114.0611,67.06,41,26,2.21,scattered clouds
108,Tiksi,RU,71.6872,128.8694,-32.71,98,100,7.74,overcast clouds
109,Korla,CN,41.7597,86.1469,9.84,84,16,3.13,few clouds
110,Rameswaram,IN,9.2833,79.3,76.66,71,95,15.19,overcast clouds
111,Narsaq,GL,60.9167,-46.05,10.62,78,14,6.44,few clouds
112,Samarai,PG,-10.6167,150.6667,80.1,80,95,4.63,overcast clouds
113,Mount Isa,AU,-20.7333,139.5,78.57,73,100,9.22,light rain
114,Mizan Teferi,ET,6.9833,35.5833,63.68,73,52,1.5,broken clouds
115,Totma,RU,59.9747,42.7642,22.8,92,100,12.77,overcast clouds
116,Upernavik,GL,72.7868,-56.1549,0.39,71,100,5.3,overcast clouds
117,Road Town,VG,18.4167,-64.6167,82.49,69,40,13.8,scattered clouds
118,Hirara,JP,24.8,125.2833,73.4,82,61,20.83,broken clouds
119,Akyab,MM,20.15,92.9,67.23,61,1,11.27,clear sky
120,Chokurdakh,RU,70.6333,147.9167,-27.89,97,100,7.07,overcast clouds
121,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,25.01,scattered clouds
122,Northam,GB,51.0333,-4.2167,47.25,89,95,16.02,overcast clouds
123,Lagoa,PT,39.05,-27.9833,62.04,84,100,28.81,overcast clouds
124,Svetlyy,RU,54.675,20.1347,48.25,89,100,14.25,light rain
125,Lompoc,US,34.6391,-120.4579,61.02,72,0,9.22,clear sky
126,Nakanojo,JP,36.5833,138.85,39.63,87,82,3.74,broken clouds
127,Port Alfred,ZA,-33.5906,26.891,72.18,82,34,3.0,scattered clouds
128,Caceres,ES,39.522,-6.3748,49.14,74,40,2.77,scattered clouds
129,Saint-Joseph,RE,-21.3667,55.6167,79.18,79,72,11.16,broken clouds
130,Romanovka,RU,51.7443,42.7527,12.83,92,81,10.25,broken clouds
131,Aklavik,CA,68.2191,-135.0107,-5.8,77,75,11.5,broken clouds
132,Porto Nacional,BR,-10.7081,-48.4172,78.8,61,91,1.19,overcast clouds
133,Dickinson,US,29.4608,-95.0513,56.01,48,0,12.66,clear sky
134,Saint-Augustin,CA,51.226,-58.6502,20.17,90,97,6.02,overcast clouds
135,Iqaluit,CA,63.7506,-68.5145,-13.27,75,75,19.57,broken clouds
136,La Ronge,CA,55.1001,-105.2842,5.25,78,75,3.44,broken clouds
137,Winslow,US,35.0242,-110.6974,26.78,74,0,0.0,clear sky
138,Kanniyakumari,IN,8.0833,77.5667,75.02,72,15,8.16,few clouds
139,Portland,US,45.5234,-122.6762,52.29,92,100,13.8,moderate rain
140,Bloemfontein,ZA,-29.1211,26.214,89.08,23,0,3.44,clear sky
141,Port Blair,IN,11.6667,92.75,80.64,78,20,5.75,mist
142,Sinnamary,GF,5.3833,-52.95,80.44,74,72,11.05,broken clouds
143,Esperance,AU,-33.8667,121.9,63.81,82,38,22.75,scattered clouds
144,Dwarka,IN,22.2394,68.9678,66.0,42,10,10.45,clear sky
145,Hasaki,JP,35.7333,140.8333,52.2,78,99,23.76,overcast clouds
146,Tateyama,JP,34.9833,139.8667,61.11,75,100,32.08,light rain
147,Castro,BR,-24.7911,-50.0119,73.62,81,98,8.08,overcast clouds
148,Puerto Carreno,CO,6.189,-67.4859,89.58,51,40,8.05,scattered clouds
149,George,ZA,-33.963,22.4617,67.55,83,75,5.75,broken clouds
150,Hopkinsville,US,36.8656,-87.4886,33.75,93,100,14.29,overcast clouds
151,Verkhnevilyuysk,RU,63.4453,120.3167,-67.63,100,93,1.19,overcast clouds
152,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,9.22,light rain
153,Wahiawa,US,21.5028,-158.0236,65.17,82,0,0.0,clear sky
154,Grand-Santi,GF,4.25,-54.3833,81.23,77,66,5.26,broken clouds
155,Adrar,MR,20.5022,-10.0711,78.1,10,13,11.77,few clouds
156,Komsomolskiy,UZ,40.4272,71.7189,12.92,67,75,4.61,mist
157,Bicske,HU,47.4842,18.644,40.71,87,100,5.37,overcast clouds
158,Ancud,CL,-41.8697,-73.8203,58.77,71,51,11.81,broken clouds
159,Dongkan,CN,33.9997,119.8308,43.97,86,100,18.61,overcast clouds
160,Bengkulu,ID,-3.8004,102.2655,75.49,90,67,3.69,broken clouds
161,Tafresh,IR,34.692,50.013,22.86,65,7,3.51,clear sky
162,Mackay,AU,-21.15,149.2,72.68,93,100,21.18,light rain
163,Pachino,IT,36.7186,15.0907,55.27,72,31,11.9,scattered clouds
164,Cortez,US,37.3489,-108.5859,40.69,74,0,4.61,clear sky
165,Fort Nelson,CA,58.8053,-122.7002,8.19,85,100,2.3,light snow
166,Vardo,NO,70.3705,31.1107,31.98,80,0,13.8,clear sky
167,Isla Vista,US,34.4133,-119.861,61.3,69,100,5.75,overcast clouds
168,Puerto Escondido,MX,15.85,-97.0667,84.43,47,3,3.8,clear sky
169,Mahebourg,MU,-20.4081,57.7,79.09,73,75,8.05,broken clouds
170,Severo-Kurilsk,RU,50.6789,156.125,20.84,77,98,5.66,overcast clouds
171,Bredasdorp,ZA,-34.5322,20.0403,71.92,56,0,10.51,clear sky
172,Provideniya,RU,64.3833,-173.3,-0.54,97,25,9.78,scattered clouds
173,Thompson,CA,55.7435,-97.8558,17.76,93,100,9.22,overcast clouds
174,Terrasini,IT,38.146,13.0844,58.57,72,40,4.61,scattered clouds
175,Hamilton,US,39.1834,-84.5333,36.75,82,100,12.66,overcast clouds
176,Lerwick,GB,60.1545,-1.1494,41.0,73,95,15.75,overcast clouds
177,Taoudenni,ML,22.6783,-3.9836,79.52,13,0,9.69,clear sky
178,Adre,TD,13.4667,22.2,72.95,20,12,7.4,few clouds
